Temperature,CoffeName,Quantity
39,Drip Coffee,11
40,Latte,8
41,Cappuccino,22
42,Latte,12
43,Cappuccino,2
44,Latte,17
45,Latte,34
46,Latte,29
47,Latte,86
48,Latte,120
49,Latte,146
50,Latte,158
51,Latte,176
52,Drip Coffee,141
53,Latte,187
54,Latte,219
55,Latte,191
56,Latte,80
57,New Orleans Iced Coffee (cup),73
58,New Orleans Iced Coffee (cup),95
59,Latte,137
60,Latte,110
61,Latte,69
62,Latte,48
63,New Orleans Iced Coffee (cup),25
64,New Orleans Iced Coffee (cup),18
65,New Orleans Iced Coffee (cup),30
66,New Orleans Iced Coffee (cup),19
67,New Orleans Iced Coffee (cup),6
67,Latte,6
69,Drip Coffee,4
