Date,Temperature
1/1/15 0:00,47.22
1/1/15 1:00,47.07
1/1/15 2:00,45.97
1/1/15 3:00,47.59
1/1/15 4:00,48.41
1/1/15 5:00,47.61
1/1/15 6:00,48.01
1/1/15 7:00,46.71
1/1/15 8:00,45.08
1/1/15 9:00,44.89
1/1/15 10:00,44.56
1/1/15 11:00,45.71
1/1/15 12:00,49
1/1/15 13:00,50.12
1/1/15 14:00,51.89
1/1/15 15:00,52.89
1/1/15 16:00,54.49
1/1/15 17:00,54.26
1/1/15 18:00,54.49
1/1/15 19:00,53.97
1/1/15 20:00,51.16
1/1/15 21:00,49.93
1/1/15 22:00,49.33
1/1/15 23:00,48.56
1/2/15 0:00,47.52
1/2/15 1:00,46.56
1/2/15 2:00,45.15
1/2/15 3:00,44.4
1/2/15 4:00,43.97
1/2/15 5:00,42.14
1/2/15 6:00,42.15
1/2/15 7:00,41.08
1/2/15 8:00,41.22
1/2/15 9:00,40.88
1/2/15 10:00,39.88
1/2/15 11:00,42
1/2/15 12:00,45.38
1/2/15 13:00,46.75
1/2/15 14:00,46.85
1/2/15 15:00,47.6
1/2/15 16:00,48.48
1/2/15 17:00,49.82
1/2/15 18:00,51.2
1/2/15 19:00,51.45
1/2/15 20:00,51.08
1/2/15 21:00,49.49
1/2/15 22:00,48.89
1/2/15 23:00,47.89
1/3/15 0:00,46.93
1/3/15 1:00,45
1/3/15 2:00,44.1
1/3/15 3:00,43.67
1/3/15 4:00,42.59
1/3/15 5:00,42.74
1/3/15 6:00,41.74
1/3/15 7:00,41.57
1/3/15 8:00,40.82
1/3/15 9:00,40.59
1/3/15 10:00,39.37
1/3/15 11:00,41.22
1/3/15 12:00,44.75
1/3/15 13:00,46.08
1/3/15 14:00,47.34
1/3/15 15:00,48.97
1/3/15 16:00,50.12
1/3/15 17:00,51.64
1/3/15 18:00,52.46
1/3/15 19:00,52.2
1/3/15 20:00,51.75
1/3/15 21:00,50.41
1/3/15 22:00,50.19
1/3/15 23:00,49.04
1/4/15 0:00,48.14
1/4/15 1:00,46.4
1/4/15 2:00,46.33
1/4/15 3:00,45.37
1/4/15 4:00,44.13
1/4/15 5:00,43.88
1/4/15 6:00,44.77
1/4/15 7:00,43.4
1/4/15 8:00,44
1/4/15 9:00,44.33
1/4/15 10:00,44.33
1/4/15 11:00,44.93
1/4/15 12:00,46.18
1/4/15 13:00,48.48
1/4/15 14:00,49.77
1/4/15 15:00,50.85
1/4/15 16:00,51.6
1/4/15 17:00,52.82
1/4/15 18:00,54.34
1/4/15 19:00,55.55
1/4/15 20:00,53.41
1/4/15 21:00,52.03
1/4/15 22:00,51.15
1/4/15 23:00,49.74
1/5/15 0:00,48.85
1/5/15 1:00,48.32
1/5/15 2:00,48.33
1/5/15 3:00,47.81
1/5/15 4:00,47.6
1/5/15 5:00,46.67
1/5/15 6:00,47.16
1/5/15 7:00,46.78
1/5/15 8:00,46.3
1/5/15 9:00,45.7
1/5/15 10:00,45.48
1/5/15 11:00,45.34
1/5/15 12:00,49.33
1/5/15 13:00,51.7
1/5/15 14:00,52.74
1/5/15 15:00,54
1/5/15 16:00,56.05
1/5/15 17:00,55.99
1/5/15 18:00,56.76
1/5/15 19:00,56.8
1/5/15 20:00,55.33
1/5/15 21:00,54.18
1/5/15 22:00,53.78
1/5/15 23:00,52.56
1/6/15 0:00,52.19
1/6/15 1:00,51.81
1/6/15 2:00,51.44
1/6/15 3:00,50.24
1/6/15 4:00,49.55
1/6/15 5:00,48.85
1/6/15 6:00,47.96
1/6/15 7:00,48.59
1/6/15 8:00,46.47
1/6/15 9:00,47.43
1/6/15 10:00,47.72
1/6/15 11:00,49.45
1/6/15 12:00,50.24
1/6/15 13:00,52.48
1/6/15 14:00,54
1/6/15 15:00,54.85
1/6/15 16:00,56.88
1/6/15 17:00,57.63
1/6/15 18:00,58.65
1/6/15 19:00,58.17
1/6/15 20:00,57.14
1/6/15 21:00,56.45
1/6/15 22:00,55.16
1/6/15 23:00,54.43
1/7/15 0:00,53.96
1/7/15 1:00,52.23
1/7/15 2:00,51.75
1/7/15 3:00,51
1/7/15 4:00,49.33
1/7/15 5:00,49.55
1/7/15 6:00,49.52
1/7/15 7:00,47.58
1/7/15 8:00,48.33
1/7/15 9:00,47.3
1/7/15 10:00,48.51
1/7/15 11:00,48.33
1/7/15 12:00,50.84
1/7/15 13:00,52.99
1/7/15 14:00,54.99
1/7/15 15:00,56.58
1/7/15 16:00,58.46
1/7/15 17:00,59.29
1/7/15 18:00,62.61
1/7/15 19:00,63.57
1/7/15 20:00,62.57
1/7/15 21:00,58.01
1/7/15 22:00,57.3
1/7/15 23:00,55.53
1/8/15 0:00,55.3
1/8/15 1:00,53.44
1/8/15 2:00,52.76
1/8/15 3:00,51.65
1/8/15 4:00,51.11
1/8/15 5:00,49.85
1/8/15 6:00,50.52
1/8/15 7:00,50.26
1/8/15 8:00,49.14
1/8/15 9:00,48.37
1/8/15 10:00,49.1
1/8/15 11:00,50.26
1/8/15 12:00,52.71
1/8/15 13:00,55.01
1/8/15 14:00,55.83
1/8/15 15:00,55.79
1/8/15 16:00,56.72
1/8/15 17:00,57.49
1/8/15 18:00,58.38
1/8/15 19:00,58.17
1/8/15 20:00,57.25
1/8/15 21:00,54.55
1/8/15 22:00,54.18
1/8/15 23:00,54.78
1/9/15 0:00,54.3
1/9/15 1:00,53.81
1/9/15 2:00,52.93
1/9/15 3:00,52.26
1/9/15 4:00,52.19
1/9/15 5:00,51.29
1/9/15 6:00,51.41
1/9/15 7:00,51.56
1/9/15 8:00,51.41
1/9/15 9:00,52.08
1/9/15 10:00,52.08
1/9/15 11:00,51.41
1/9/15 12:00,52.45
1/9/15 13:00,53.49
1/9/15 14:00,54.34
1/9/15 15:00,56.39
1/9/15 16:00,58.38
1/9/15 17:00,58.58
1/9/15 18:00,59.5
1/9/15 19:00,60.35
1/9/15 20:00,59.08
1/9/15 21:00,56.85
1/9/15 22:00,56.1
1/9/15 23:00,55.08
1/10/15 0:00,54.3
1/10/15 1:00,53.78
1/10/15 2:00,53.18
1/10/15 3:00,52.71
1/10/15 4:00,52.93
1/10/15 5:00,52.41
1/10/15 6:00,52.33
1/10/15 7:00,51.16
1/10/15 8:00,51.41
1/10/15 9:00,52.71
1/10/15 10:00,52.08
1/10/15 11:00,52.22
1/10/15 12:00,53.23
1/10/15 13:00,53.12
1/10/15 14:00,54.01
1/10/15 15:00,53.86
1/10/15 16:00,53.75
1/10/15 17:00,55.49
1/10/15 18:00,58.51
1/10/15 19:00,58.28
1/10/15 20:00,56.79
1/10/15 21:00,55.45
1/10/15 22:00,54.71
1/10/15 23:00,54.56
1/11/15 0:00,53.41
1/11/15 1:00,52.74
1/11/15 2:00,52.41
1/11/15 3:00,52.93
1/11/15 4:00,50.77
1/11/15 5:00,50.18
1/11/15 6:00,49.56
1/11/15 7:00,49.41
1/11/15 8:00,49.41
1/11/15 9:00,49.04
1/11/15 10:00,50.04
1/11/15 11:00,49.71
1/11/15 12:00,50.22
1/11/15 13:00,50.37
1/11/15 14:00,50.25
1/11/15 15:00,52.52
1/11/15 16:00,53.29
1/11/15 17:00,54.64
1/11/15 18:00,55.72
1/11/15 19:00,55.3
1/11/15 20:00,54.85
1/11/15 21:00,54.11
1/11/15 22:00,53.48
1/11/15 23:00,52.56
1/12/15 0:00,52.33
1/12/15 1:00,51.33
1/12/15 2:00,51.48
1/12/15 3:00,50.71
1/12/15 4:00,49.89
1/12/15 5:00,49.49
1/12/15 6:00,48.29
1/12/15 7:00,48.26
1/12/15 8:00,48.12
1/12/15 9:00,48.18
